jobtitle,category,experience_level,job_type,salary_range,mobility,vision,hearing,cognitive,skills,tools,summary,details,growth_potential,why_accessible,location,learning_resource,roadmap,videos,sources
Remote Software Developer,Technology,Entry,Full-time Remote,"$40,000–$70,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,JavaScript;Python;Problem Solving;REST APIs;Git,VS Code;GitHub;Postman;Slack,Build and maintain web applications with flexible remote-friendly workflows.,"Develop front-end features, integrate third-party APIs, write unit tests, and collaborate in agile sprints using async tools. Fully remote setup with no physical presence required.",Senior Developer → Tech Lead → Engineering Manager,Fully remote. Screen-reader-compatible IDEs. No mobility or hearing requirements. Flexible async collaboration.,Remote,FreeCodeCamp (Web Development),HTML & CSS fundamentals;JavaScript core concepts;Git & GitHub version control;REST APIs & fetch;React basics;Build and deploy a portfolio project,,
Accessibility Consultant,Design,Mid,Full-time Remote,"$45,000–$80,000",Mild,Moderate,No issues / N/A,Moderate,WCAG;Assistive Technology;UX Audits;User Advocacy;ARIA,Axe DevTools;JAWS;NVDA;Screen readers;Deque's axe,Advise organisations on inclusive design and digital accessibility compliance.,"Audit digital products against WCAG 2.1 AA, produce detailed remediation reports, train engineering teams on accessibility patterns, and champion inclusive design from the start of projects.",Accessibility Lead → Head of Inclusive Design → VP of Inclusion,Lived experience of disability is genuinely valued and improves client empathy. Fully remote role.,Remote/Hybrid,Deque University (Accessibility Courses),WCAG 2.1 AA principles;Screen reader and AT testing;Colour contrast and ARIA markup;Audit report writing;Stakeholder presentation and training,,
Content Strategist,Communication,Mid,Full-time Remote,"$38,000–$65,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Writing;SEO;Editorial Planning;Research;Analytics,Google Analytics;Notion;Ahrefs;Semrush,Plan and produce content that drives traffic and communicates brand value.,"Create content strategies, write editorial style guides, manage content calendars, run keyword research, and report on content performance using analytics dashboards.",Senior Strategist → Head of Content → VP Marketing,Fully async and remote. Writing-focused. Flexible hours. Suitable for a wide range of physical and sensory disabilities.,Remote,Coursera (Content Strategy),Content audit and gap analysis;SEO fundamentals and keyword research;Tone of voice and style guides;Content calendar planning;Performance metrics and reporting,,
Data Analyst,Analytics,Entry,Hybrid,"$40,000–$65,000",No issues / N/A,Moderate,No issues / N/A,Mild,SQL;Python;Excel;Data Visualisation;Statistics,Tableau;Power BI;Python;SQL;Excel,Analyse business datasets and translate findings into clear recommendations.,"Clean and transform raw data, build interactive dashboards, run descriptive statistics, and present findings to non-technical stakeholders in plain language.",Senior Analyst → Analytics Manager → Data Scientist,Mostly desk-based. Visual dashboards with screen magnification support. Many tasks can be done fully remotely.,Hybrid,Google Data Analytics Certificate,Spreadsheets and pivot tables;SQL queries and joins;Data cleaning and transformation;Tableau and Power BI visualisations;Dashboard design;Presenting data stories to stakeholders,,
Customer Support (Chat),Communication,Entry,Full-time Remote,"$22,000–$38,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Written Communication;Empathy;CRM;Typing Accuracy;Problem Solving,Zendesk;Intercom;Freshdesk;Slack,Assist customers entirely through written chat and email — no phone calls.,"Resolve customer queries via live chat and email tickets, document case notes, escalate complex issues, contribute to knowledge-base articles, and maintain high CSAT scores.",Senior Support Agent → Team Lead → Customer Success Manager,100% text-based. No voice or phone work. Ideal for hearing impairment. Flexible shift patterns widely available.,Remote,LinkedIn Learning (Customer Support Excellence),Product knowledge and platform navigation;Written tone and empathy techniques;Ticketing tool workflows (Zendesk);Issue escalation and resolution;Quality assurance and CSAT,,
QA Tester (Web),Technology,Entry,Hybrid,"$30,000–$52,000",No issues / N/A,Moderate,No issues / N/A,Moderate,Manual Testing;Test Case Writing;Bug Reporting;Regression Testing;Attention to Detail,Jira;TestRail;Chrome DevTools;Postman;Selenium,Test web applications systematically and report defects clearly.,"Write detailed test cases from acceptance criteria, execute manual and automated test runs, log bug reports with reproduction steps, and verify developer fixes before release.",Senior QA → QA Lead → QA Manager → Test Architect,"Structured, detail-oriented work with clear checklists. Screen magnification tools supported. Many tasks can be remote.",Hybrid,Test Automation University,Testing fundamentals and test planning;Writing effective test cases;Bug reporting in Jira;Regression and smoke testing;Introduction to Selenium automation,,
UX Designer,Design,Mid,Hybrid,"$48,000–$85,000",No issues / N/A,Moderate,No issues / N/A,Moderate,UX Research;Wireframing;Prototyping;Figma;Usability Testing,Figma;Miro;Maze;Lookback;Notion,Design accessible and user-centred digital products from research to delivery.,"Conduct discovery research, facilitate user interviews, produce low and high-fidelity wireframes, build interactive prototypes in Figma, and run moderated usability studies.",Senior UX Designer → UX Lead → Head of Design,Lived disability experience is a direct professional asset. Remote-friendly design tools. Flexible hybrid schedule.,Hybrid,Interaction Design Foundation,UX fundamentals and the design process;User research methods and synthesis;Wireframing and prototyping in Figma;Accessibility in UX (WCAG and inclusive patterns);Usability testing and iteration,,
Transcription Specialist,Communication,Entry,Full-time Remote,"$18,000–$35,000",No issues / N/A,No issues / N/A,Significant,Mild,Typing Accuracy;Audio Editing;Proofreading;Style Guides;Time Management,Express Scribe;oTranscribe;Microsoft Word;Google Docs,Produce accurate transcripts from audio and video recordings using assistive tools.,"Use visual waveform and adapted playback software to transcribe spoken content, proofread finished transcripts against source material, apply style guide formatting, and meet turnaround targets.",Senior Transcriptionist → Editor → Transcript QA → Captioning Specialist,Specifically designed for hearing-impaired workers. Visual waveform tools replace listening. Fully remote and self-paced.,Remote,Rev (Transcription Style Guide & Training),Typing speed and accuracy drills;Audio and waveform tool setup;Style guide application;Proofreading and quality checks;Time-stamping and speaker labelling,,
Project Coordinator,Management,Mid,Hybrid,"$35,000–$58,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Organisation;Scheduling;Communication;Documentation;Risk Tracking,Asana;Jira;MS Project;Slack;Confluence,"Coordinate tasks, timelines, and team communication across multiple projects.","Manage project schedules, run daily stand-ups, write weekly status reports, maintain risk registers, and keep all stakeholders informed of progress and blockers.",Senior Project Coordinator → Project Manager → Programme Manager → PMO Lead,Structured role with predictable routines. Most coordination tasks are fully remote-compatible. Good for mobility challenges.,Hybrid,Coursera (Google Project Management Certificate),Task tracking and dependency mapping;Stakeholder communication;Timeline and milestone planning;Status report writing;Risk and issue management,,
Technical Writer,Communication,Mid,Full-time Remote,"$42,000–$72,000",No issues / N/A,Moderate,No issues / N/A,Moderate,Technical Writing;API Documentation;Research;Markdown;Editing,Confluence;MadCap Flare;Git;Markdown;Postman,Write clear technical documentation that helps users understand complex products.,"Draft and maintain API reference docs, user guides, release notes, and knowledge-base articles. Collaborate with engineers to validate accuracy and ship docs alongside product releases.",Senior Technical Writer → Docs Lead → Head of Documentation,Fully remote and async-friendly. Writing tools support screen readers. Suits mobility and hearing-related needs well.,Remote,Google Technical Writing Courses,"Technical writing fundamentals;Document structure and information hierarchy;Collaborating with subject-matter experts;Tooling setup (Confluence, Git, Markdown);Review cycles and version control",,
Social Media Manager,Communication,Entry,Full-time Remote,"$26,000–$48,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Copywriting;Content Scheduling;Analytics;Community Management;Visual Design,Hootsuite;Buffer;Canva;Meta Business Suite;Google Analytics,Grow and manage brand social channels across multiple platforms.,"Plan and schedule posts, write engaging copy, moderate community responses, run paid social campaigns, and produce monthly analytics reports showing reach and engagement growth.",Senior Social Media Manager → Head of Social → Brand Director,Entirely digital and remote. Flexible creative schedule. Low physical demands. Highly varied and stimulating work.,Remote,HubSpot Academy (Social Media Marketing),"Platform mechanics for Instagram, LinkedIn and X;Content creation and scheduling tools;Community management and moderation;Analytics reporting and growth metrics;Paid social campaign basics",,
Virtual Assistant,Management,Entry,Freelance,"$16,000–$32,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Calendar Management;Email Handling;Research;Data Entry;Communication,Google Workspace;Zoom;Notion;Trello;Slack,Provide remote administrative support to executives and growing businesses.,"Manage complex calendars and inboxes, book travel, conduct desk research, prepare presentations and reports, and handle ad-hoc admin tasks to free up client time.",Senior VA → Executive Assistant → Operations Coordinator,Fully remote with entirely self-managed schedule. Excellent for people who need control over their working hours due to health conditions.,Remote,Udemy (Virtual Assistant Masterclass),Email and calendar management;Professional written communication;Document preparation and formatting;Online research and fact-checking;Task prioritisation and time management,,
Video Editor,Creative,Mid,Full-time Remote,"$34,000–$62,000",No issues / N/A,Moderate,Significant,Mild,Video Editing;Colour Grading;Motion Graphics;Captioning;Storytelling,Premiere Pro;DaVinci Resolve;After Effects;Audition;Frame.io,Edit and deliver compelling video content for digital platforms and brands.,"Cut and assemble raw footage according to brief, apply colour grades, create motion graphic sequences, add accessibility captions, and export final deliverables in required formats.",Lead Editor → Creative Director → Head of Video Production,Remote-first. Caption and visual-waveform workflow means this role is highly suitable for hearing-impaired editors.,Remote,Premiere Pro & DaVinci Resolve Fundamentals (YouTube),Editing fundamentals and NLE timeline basics;Colour correction and creative grading;Audio syncing and noise reduction;Motion graphics and accessibility captioning;Export formats and delivery standards,,
Online Tutor,Education,Entry,Freelance,"$20,000–$42,000",No issues / N/A,No issues / N/A,Moderate,Moderate,Subject Expertise;Teaching;Communication;Lesson Planning,Zoom;Google Meet;Whiteboard.fi;Kahoot;Notion,Teach academic subjects one-to-one or in small groups over video or chat.,"Plan and deliver personalised lessons, adapt teaching style to each learner, provide written feedback, track progress with simple assessments, and motivate students to reach their goals.",Subject Specialist → Curriculum Designer → E-Learning Developer,Flexible and self-directed schedule. Text-based tutoring available for hearing-impaired tutors. Fully remote.,Remote,Coursera (Learning and Development Fundamentals),Lesson planning and learning objectives;Adaptive and inclusive teaching strategies;Student engagement and motivation techniques;Progress tracking and assessment;Giving structured constructive feedback,,
Graphic Designer,Creative,Mid,Full-time Remote,"$33,000–$62,000",No issues / N/A,Moderate,No issues / N/A,Mild,Brand Design;Typography;Illustration;Layout;Colour Theory,Figma;Adobe Illustrator;Photoshop;InDesign;Canva,"Create brand identities, marketing materials, and digital visual assets.","Design logos, brand guidelines, social graphics, advertising creatives, and print materials. Collaborate with marketing and product teams to ensure visual consistency across all touchpoints.",Senior Designer → Art Director → Creative Director,Studio-at-home setup. Primarily visual work. Full keyboard shortcut support in all tools. Suits mobility challenges.,Remote,Domestika (Graphic Design Fundamentals),Design fundamentals and colour theory;Typography systems and layout grids;Brand identity and logo design;Adobe Illustrator and Figma workflows;Presenting and pitching creative concepts,,
HR Coordinator,Management,Entry,Hybrid,"$28,000–$48,000",Mild,No issues / N/A,No issues / N/A,Mild,HR Administration;Recruitment Support;Communication;Data Entry;Compliance,Workday;BambooHR;LinkedIn Recruiter;Excel;Outlook,"Support day-to-day HR operations including recruitment, onboarding, and records management.","Post job advertisements, screen incoming CVs, coordinate interview logistics, manage employee records, support new-hire onboarding, and assist with policy documentation updates.",Senior HR Coordinator → HR Business Partner → HR Manager,Mostly desk-based. Clear structured processes. Many tasks are fully remote-compatible. Predictable daily routine.,Hybrid,SHRM eLearning (HR Essentials),Recruitment sourcing and job posting;CV screening and interview coordination;Onboarding process management;HR systems and record keeping;Employment law fundamentals,,
Cybersecurity Analyst,Technology,Mid,Full-time Remote,"$55,000–$92,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Network Security;Threat Analysis;SIEM;Vulnerability Assessment;Incident Response,Splunk;Wireshark;Microsoft Sentinel;Nessus;Burp Suite,"Monitor systems, detect threats, and respond to security incidents across networks.","Analyse SIEM alerts and security logs, investigate suspicious activity, conduct vulnerability scans, produce incident reports, and recommend risk-mitigation controls.",Senior Analyst → Security Engineer → Security Architect → CISO,Fully remote. Analytical and process-driven. Screen-reader-compatible SIEM tools available. No physical demands.,Remote,CompTIA Security+ and TryHackMe,"Networking fundamentals (TCP/IP, DNS, firewalls);Threat landscape and common attack vectors;SIEM tools and log analysis;Vulnerability scanning and assessment;Incident response process and reporting",,
